Sample,Trigger,burst/period_cnt,burst/FIBER_AOM_TTL_tem,burst/TTL_tem,core/lock,burst/state,burst/bst_cnt,core/BST_NUM,burst/BST_NUM_reg,core/BST_PERIOD,burst/BST_PERIOD_reg
5207,0,0000000001010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5208,0,0000000001010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5209,0,0000000001010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5210,0,0000000001010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5211,0,0000000001011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5212,0,0000000001011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5213,0,0000000001011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5214,0,0000000001011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5215,0,0000000001011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5216,0,0000000001011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5217,0,0000000001011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5218,0,0000000001011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5219,0,0000000001011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5220,0,0000000001011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5221,0,0000000001011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5222,0,0000000001011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5223,0,0000000001011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5224,0,0000000001011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5225,0,0000000001011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5226,0,0000000001011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5227,0,0000000001011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5228,0,0000000001011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5229,0,0000000001011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5230,0,0000000001011111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5231,0,0000000001011111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5232,0,0000000001011111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5233,0,0000000001100000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5234,0,0000000001100000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5235,0,0000000001100000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5236,0,0000000001100001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5237,0,0000000001100001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5238,0,0000000001100001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5239,0,0000000001100010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5240,0,0000000001100010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5241,0,0000000001100011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5242,0,0000000001100011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5243,0,0000000001100011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5244,0,0000000001100100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5245,0,0000000001100100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5246,0,0000000001100100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5247,0,0000000001100101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5248,0,0000000001100101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5249,0,0000000001100101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5250,0,0000000001100110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5251,0,0000000001100110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5252,0,0000000001100111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5253,0,0000000001100111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5254,0,0000000001100111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
